variable,unit,factor,,molecule,Molecular_weight
CH4,mgC/L,83.264,,CO2,44.01
CH4,mgCH4/L,62.344,,C,12.01
CH4,ugC/L,0.083264,,CH4,16.04
CH4,ugCH4/L,0.062344,,NO3,62.005
CH4,ngC/L,0.000083264,,NH4,18.039
CH4,ngCH4/L,0.000062344,,N,14.007
CH4,nmol/L,0.001,,P,30.974
CH4,umol/L,1,,PO4,94.971
CH4,mmol/L,1000,,N2O,44.013
CH4,mol/L,1000000,,,
CH4,NA,NA,,,
,,,,,
CO2,gC/L,83264,,,
CO2,gCO2/L,22722,,,
CO2,mgC/L,83.264,,,
CO2,mgCO2/L,22.722,,,
CO2,ugC/L,0.083264,,,
CO2,ugCO2/L,0.022722,,,
CO2,ngC/L,0.000083264,,,
CO2,ngCO2/L,0.000022722,,,
CO2,nmol/L,0.001,,,
CO2,umol/L,1,,,
CO2,mmol/L,1000,,,
CO2,mol/L,1000000,,,
CO2,NA,NA,,,
,,,,,
N2O,ngN/L,0.000071393,,,
N2O,ngN2O/L,0.000022721,,,
N2O,ugN/L,0.071393,,,
N2O,ugN2O/L,0.022721,,,
N2O,mgN/L,71.393,,,
N2O,mgN2O/L,22.721,,,
N2O,nmol/L,0.001,,,
N2O,umol/L,1,,,
N2O,mmol/L,1000,,,
N2O,NA,NA,,,
,,,,,
NO3,mgNO2+NO3-N/L,71.393,,,
NO3,mgNO3-N/L,71.393,,,
NO3,mgNO3/L,16.12643,,,
NO3,ugNO2+NO3-N/L,0.071393,,,
NO3,ugNO3-N/L,0.071393,,,
NO3,ugNO3/L,0.01612773,,,
NO3,mmolNO3/L,1000,,,
NO3,mmolNO2+NO3/L,1000,,,
NO3,umolNO3/L,1,,,
NO3,umolNO2+NO3/L,1,,,
NO3,NA,NA,,,
,,,,,
NH4,mgNH4-N/L,71.393,,,
NH4,mgNH4/L,55.435,,,
NH4,ugNH4-N/L,0.071393,,,
NH4,ugNH4/L,0.055435,,,
NH4,mmolNH4/L,1000,,,
NH4,umolNH4/L,1,,,
NH4,NA,NA,,,
,,,,,
TN,mgTN/L,71.393,,,
TN,ugTN/L,0.071393,,,
TN,mmolTN/L,1000,,,
TN,umolTN/L,1,,,
TN,mgTDN/L,71.393,,,
TN,ugTDN/L,0.071393,,,
TN,mmolTDN/L,1000,,,
TN,umolTDN/L,1,,,
TN,NA,NA,,,
,,,,,
SRP,mgSRP/L,32.285,,,
SRP,mgPO4-P/L,32.285,,,
SRP,mgPO4/L,10.53,,,
SRP,ugSRP/L,0.032285,,,
SRP,ugP/L,0.032285,,,
SRP,ugPO4-P/L,0.032285,,,
SRP,ugPO4/L,0.01053,,,
SRP,mmolSRP/L,1000,,,
SRP,mmolPO4/L,1000,,,
SRP,umolSRP/L,1,,,
SRP,umolPO4/L,1,,,
SRP,NA,NA,,,
,,,,,
TP,mgTP/L,32.285,,,
TP,ugTP/L,0.032285,,,
TP,mmolTP/L,1000,,,
TP,umolTP/L,1,,,
TP,mgTDP/L,32.285,,,
TP,ugTDP/L,0.032285,,,
TP,mmolTDP/L,1000,,,
TP,umolTDP/L,1,,,
TP,NA,NA,,,
,,,,,
DOC,mgC/L,83.264,,,
DOC,ugC/L,0.083264,,,
DOC,mmol/L,1000,,,
DOC,umol/L,1,,,
DOC,mgTC/L,83.264,,,
DOC,ugTC/L,0.083264,,,
DOC,mmolTC/L,1000,,,
DOC,umolTC/L,1,,,
DOC,NA,NA,,,
,,,,,
CH4_flux,g CH4 m-2 d-1,62.344,,,
CH4_flux,g C m-2 d-1,83.264,,,
CH4_flux,mg CH4 m-2 d-1,0.062344,,,
CH4_flux,mg C m-2 d-1,0.083264,,,
CH4_flux,ug CH4 m-2 d-1,0.000062344,,,
CH4_flux,ug C m-2 d-1,0.000083264,,,
CH4_flux,g CH4 m-2 h-1,1496.256,,,
CH4_flux,g C m-2 h-1,1998.336,,,
CH4_flux,mg CH4 m-2 h-1,1.496256,,,
CH4_flux,mg C m-2 h-1,1.998336,,,
CH4_flux,ug CH4 m-2 h-1,0.001496256,,,
CH4_flux,ug C m-2 h-1,0.001998336,,,
CH4_flux,mg CH4 m-2 min-1,89.77536,,,
CH4_flux,mg C m-2 min-1,119.90016,,,
CH4_flux,ug CH4 m-2 min-1,0.08977536,,,
CH4_flux,ug C m-2 min-1,0.11990016,,,
CH4_flux,mg CH4 m-2 s-1,5386.5216,,,
CH4_flux,mg C m-2 s-1,7194.0096,,,
CH4_flux,ug CH4 m-2 s-1,5.3865216,,,
CH4_flux,ug C m-2 s-1,7.1940096,,,
CH4_flux,ng CH4 m-2 s-1,0.005386522,,,
CH4_flux,ng C m-2 s-1,0.00719401,,,
CH4_flux,mol m-2 d-1,1000,,,
CH4_flux,mol m-2 h-1,24000,,,
CH4_flux,mol m-2 min-1,1440000,,,
CH4_flux,mol m-2 s-1,86400000,,,
CH4_flux,mmol m-2 d-1,1,,,
CH4_flux,mmol m-2 h-1,24,,,
CH4_flux,mmol m-2 min-1,1440,,,
CH4_flux,mmol m-2 s-1,86400,,,
CH4_flux,umol m-2 d-1,0.001,,,
CH4_flux,umol m-2 h-1,0.024,,,
CH4_flux,nmolCH4 m-2 h-1,0.000024,,,
CH4_flux,umol m-2 min-1,1.44,,,
CH4_flux,nmol m-2 min-1,0.00144,,,
CH4_flux,umol m-2 s-1,86.4,,,
CH4_flux,nmol m-2 s-1,0.0864,,,
CH4_flux,mg C m-2 y-1,0.000227964,,,
CH4_flux,g CH4 m-2 y-1,0.170689,,,
CH4_flux,g C m-2 y-1,0.227964,,,
CH4_flux,NA,NA,,,
,,,,,
CO2_flux,g CO2 m-2 d-1,22.722,,,
CO2_flux,g C m-2 d-1,83.264,,,
CO2_flux,mg CO2 m-2 d-1,0.022722,,,
CO2_flux,mg C m-2 d-1,0.083264,,,
CO2_flux,ug CO2 m-2 d-1,0.000022722,,,
CO2_flux,ug C m-2 d-1,0.000083264,,,
CO2_flux,g CO2 m-2 h-1,545.328,,,
CO2_flux,g C m-2 h-1,1998.336,,,
CO2_flux,mg CO2 m-2 h-1,0.545328,,,
CO2_flux,mg C m-2 h-1,1.998336,,,
CO2_flux,ug CO2 m-2 h-1,0.000545328,,,
CO2_flux,ug C m-2 h-1,0.001998336,,,
CO2_flux,mg CO2 m-2 min-1,32.71968,,,
CO2_flux,mg C m-2 min-1,119.90016,,,
CO2_flux,ug CO2 m-2 min-1,0.03271968,,,
CO2_flux,ug C m-2 min-1,0.11990016,,,
CO2_flux,mg CO2 m-2 s-1,1963.1808,,,
CO2_flux,mg C m-2 s-1,7194.0096,,,
CO2_flux,ug CO2 m-2 s-1,1.9631808,,,
CO2_flux,ug C m-2 s-1,7.1940096,,,
CO2_flux,mol m-2 d-1,1000,,,
CO2_flux,mol m-2 h-1,24000,,,
CO2_flux,mol m-2 min-1,1440000,,,
CO2_flux,mol m-2 s-1,86400000,,,
CO2_flux,mmol m-2 d-1,1,,,
CO2_flux,mmol m-2 h-1,24,,,
CO2_flux,mmol m-2 min-1,1440,,,
CO2_flux,mmol m-2 s-1,86400,,,
CO2_flux,umol m-2 d-1,0.001,,,
CO2_flux,umol m-2 h-1,0.024,,,
CO2_flux,umol m-2 min-1,1.44,,,
CO2_flux,umol m-2 s-1,86.4,,,
CO2_flux,g C m-2 y-1,0.227964,,,
CO2_flux,NA,NA,,,
,,,,,
N2O_flux,g N2O m-2 d-1,22.7206,,,
N2O_flux,g N m-2 d-1,71.3929,,,
N2O_flux,mg N2O m-2 d-1,0.0227206,,,
N2O_flux,mg N m-2 d-1,0.0713929,,,
N2O_flux,ug N2O m-2 d-1,2.27E-05,,,
N2O_flux,ug N m-2 d-1,7.14E-05,,,
N2O_flux,g N2O m-2 h-1,545.2944,,,
N2O_flux,g N m-2 h-1,1713.4296,,,
N2O_flux,mg N2O m-2 h-1,0.5452944,,,
N2O_flux,mg N m-2 h-1,1.7134296,,,
N2O_flux,ug N2O m-2 h-1,0.000545294,,,
N2O_flux,ug N m-2 h-1,0.00171343,,,
N2O_flux,mg N2O m-2 min-1,32.717664,,,
N2O_flux,mg N m-2 min-1,102.805776,,,
N2O_flux,ug N2O m-2 min-1,0.032717664,,,
N2O_flux,ug N m-2 min-1,0.102805776,,,
N2O_flux,mg N2O m-2 s-1,1963.05984,,,
N2O_flux,mg N m-2 s-1,6168.34656,,,
N2O_flux,ug N2O m-2 s-1,1.96305984,,,
N2O_flux,ug N m-2 s-1,6.16834656,,,
N2O_flux,ng N2O m-2 s-1,0.00196306,,,
N2O_flux,ng N m-2 s-1,0.006168347,,,
N2O_flux,mol m-2 d-1,1000,,,
N2O_flux,mol m-2 h-1,24000,,,
N2O_flux,mmol m-2 d-1,1,,,
N2O_flux,mmol m-2 h-1,24,,,
N2O_flux,mmol m-2 min-1,1440,,,
N2O_flux,mmol m-2 s-1,86400,,,
N2O_flux,umol m-2 d-1,0.001,,,
N2O_flux,umol m-2 h-1,0.024,,,
N2O_flux,nmol m-2 h-1,0.000024,,,
N2O_flux,umol m-2 min-1,1.44,,,
N2O_flux,nmol m-2 min-1,0.00144,,,
N2O_flux,umol m-2 s-1,86.4,,,
N2O_flux,nmol m-2 s-1,0.0864,,,
N2O_flux,mg N m-2 y-1,0.000195463,,,
N2O_flux,g N m-2 y-1,0.195597,,,
N2O_flux,NA,NA,,,
,,,,,
Q,m3/s,1,,,
Q,L/s,0.001,,,
Q,ft3/s,0.0283168,,,
Q,m3/min,0.01666667,,,
Q,m3/d,1.16E-05,,,
Q,m3/y,3.17E-08,,,
Q,NA,NA,,,
